007: ಅರ್ಜುನವಸುದೇವಸಂವಾದಃ 	 16_mausalaparva/93_mausala-parva/007/
007: ಕರ್ಮಫಲಿಕೋಪಾಖ್ಯಾನಃ 	 13_anushAsanaparva/87_dAnadharma-parva/007/
007: ಧೃತರಾಷ್ಟ್ರನಿರ್ವೇದಃ 	 15_AshramavAsikaparva/90_AshramavAsa-parva/007/
007: ಮನ್ವಂತರವರ್ಣನಮ್ 	 19_harivaMsha/96_harivaMsha-parva/007/
007: ಸಂವರ್ತಮರುತ್ತೀಯಃ 	 14_ashvamEdhikaparva/89_ashvamEdhika-parva/007/
008 ಅರ್ಜುನವಾಕ್ಯಃ 	 12_shAMtiparva/084_rAjadharma-parva/008/
008 ಕ್ಷೇಮಧೂರ್ತಿವಧಃ 	 08_karNaparva/073_karNavadha-parva/008/
008 ಜತುಗೃಹದಾಹ ಪರ್ವ 	 01_Adiparva/008_jatugRihadAha-parva/
008 ದ್ರೌಪದೀಪ್ರವೇಶಃ 	 04_virATaparva/045_vairATa-parva/008/
008 ಧೃತರಾಷ್ಟ್ರಶೋಕಃ 	 07_drONaparva/065_drONAbhishEka-parva/008/
008 ಧೃತರಾಷ್ಟ್ರಶೋಕಕರಣಃ 	 11_strIparva/080_vishOka-parva/008/
008 ಪ್ರಮದ್ವರಾಸರ್ಪದಂಶಃ 	 01_Adiparva/004_paulOma-parva/008/
008 ಮಾಲ್ಯವದ್ವರ್ಣನಃ 	 06_bhIshmaparva/061_jaMbUkhaMDavinirmANa-parva/008/
008 ಯಮಸಭಾವರ್ಣನಂ 	 02_Sabhaparva/020_sabhA-parva/008/
008 ರಾತ್ರಿಯುದ್ಧಃ 	 10_sauptikaparva/078_sauptika-parva/008/
008 ವ್ಯಾಸಾಗಮನಃ 	 03_aranyakaparva/029_AraNyaka-parva/008/
008 ಶಲ್ಯವಾಕ್ಯಃ 	 05_udyOgaparva/049_udyOga-parva/008/
008 ಸಂಕುಲಯುದ್ಧಃ 	 09_shalyaparva/074_shalyavadha-parva/008/
008: ಪೂಜ್ಯವರ್ಣನಃ 	 13_anushAsanaparva/87_dAnadharma-parva/008/
008: ಮನ್ವಂತರಗಣನಾಯಾಮ್ 	 19_harivaMsha/96_harivaMsha-parva/008/
008: ವೃಷ್ಣಿಕಲತ್ರಾದ್ಯಾನಯನಃ 	 16_mausalaparva/93_mausala-parva/008/
008: ವ್ಯಾಸಾನುಜ್ಞಾ 	 15_AshramavAsikaparva/90_AshramavAsa-parva/008/
008: ಸಂವರ್ತಮರುತ್ತೀಯಃ 	 14_ashvamEdhikaparva/89_ashvamEdhika-parva/008/
009 ಇಂದ್ರವಿಜಯಃ 	 05_udyOgaparva/049_udyOga-parva/009/
009 ದುರ್ಯೋಧನಪ್ರಾಣತ್ಯಾಗಃ 	 10_sauptikaparva/078_sauptika-parva/009/
009 ಧೃತರಾಷ್ಟ್ರನಿರ್ಗಮನಃ 	 11_strIparva/081_strI-parva/009/
009 ಧೃತರಾಷ್ಟ್ರವಾಕ್ಯಃ 	 06_bhIshmaparva/061_jaMbUkhaMDavinirmANa-parva/009/
009 ಧೃತರಾಷ್ಟ್ರವಾಕ್ಯಃ 	 07_drONaparva/065_drONAbhishEka-parva/009/
009 ಪ್ರಮದ್ವರಾಜೀವಃ 	 01_Adiparva/004_paulOma-parva/009/
009 ಯುಧಿಷ್ಠಿರವಾಕ್ಯಃ 	 12_shAMtiparva/084_rAjadharma-parva/009/
009 ವರುಣಸಭಾವರ್ಣನಂ 	 02_Sabhaparva/020_sabhA-parva/009/
009 ವಿಂದಾನುವಿಂದವಧಃ 	 08_karNaparva/073_karNavadha-parva/009/
009 ವ್ಯಾಸವಾಕ್ಯಃ 	 03_aranyakaparva/029_AraNyaka-parva/009/
009 ಸಂಕುಲಯುದ್ಧಃ 	 09_shalyaparva/074_shalyavadha-parva/009/
009 ಸಹದೇವಪ್ರವೇಶಃ 	 04_virATaparva/045_vairATa-parva/009/
009 ಹಿಡಿಂಬವಧ ಪರ್ವ 	 01_Adiparva/009_hiDiMbavadha-parva/
009: ಧೃತರಾಷ್ಟ್ರೋಪದೇಶಃ 	 15_AshramavAsikaparva/90_AshramavAsa-parva/009/
009: ವೈವಸ್ವತೋತ್ಪತ್ತಿಃ 	 19_harivaMsha/96_harivaMsha-parva/009/
009: ವ್ಯಾಸಾರ್ಜುನಸಂವಾದಃ 	 16_mausalaparva/93_mausala-parva/009/
009: ಸಂವರ್ತಮರುತ್ತೀಯಃ 	 14_ashvamEdhikaparva/89_ashvamEdhika-parva/009/
009: ಸೃಗಾಲವಾನರಸಂವಾದಃ 	 13_anushAsanaparva/87_dAnadharma-parva/009/
010 ಅರ್ಜುನಪ್ರವೇಶಃ 	 04_virATaparva/045_vairATa-parva/010/
010 ಕೃಪದ್ರೌಣಿಭೋಜದರ್ಶನಃ 	 11_strIparva/081_strI-parva/010/
010 ಚಿತ್ರವಧಃ 	 08_karNaparva/073_karNavadha-parva/010/
010 ಧನದಸಭಾವರ್ಣನಂ 	 02_Sabhaparva/020_sabhA-parva/010/
010 ಧೃತರಾಷ್ಟ್ರವಿಲಾಪಃ 	 07_drONaparva/065_drONAbhishEka-parva/010/
010 ಬಕವಧ ಪರ್ವ 	 01_Adiparva/010_bakavadha-parva/
010 ಭಾರತೀಯನದೀದೇಶಾನಿನಾಮಕಥನಃ 	 06_bhIshmaparva/061_jaMbUkhaMDavinirmANa-parva/010/
010 ಭೀಮವಾಕ್ಯಃ 	 12_shAMtiparva/084_rAjadharma-parva/010/
010 ಭೀಮಸೇನಶಲ್ಯಯುದ್ಧಃ 	 09_shalyaparva/074_shalyavadha-parva/010/
010 ಯುಧಿಷ್ಠಿರಶಿಬಿರಪ್ರವೇಶಃ 	 10_sauptikaparva/079_aishIka-parva/010/
010 ರುರುಡುಂಡುಭಸಂವಾದಃ 	 01_Adiparva/004_paulOma-parva/010/
010 ವೃತ್ರವಧೇ ಇಂದ್ರವಿಜಯಃ 	 05_udyOgaparva/049_udyOga-parva/010/
010 ಸುರಭ್ಯುಪಾಖ್ಯಾನಃ 	 03_aranyakaparva/029_AraNyaka-parva/010/
010: ಐಲೋತ್ಪತ್ತಿವರ್ಣನಂ 	 19_harivaMsha/96_harivaMsha-parva/010/
010: ಧೃತರಾಷ್ಟ್ರೋಪದೇಶಃ 	 15_AshramavAsikaparva/90_AshramavAsa-parva/010/
010: ಶೂದ್ರಮುನಿಸಂವಾದಃ 	 13_anushAsanaparva/87_dAnadharma-parva/010/
010: ಸಂವರ್ತಮರುತ್ತೀಯಃ 	 14_ashvamEdhikaparva/89_ashvamEdhika-parva/010/
011 ಅರ್ಜುನವಾಕ್ಯೇ ಋಷಿಶಕುನಿಸಂವಾದಕಥನಃ 	 12_shAMtiparva/084_rAjadharma-parva/011/
011 ಅಶ್ವತ್ಥಾಮಭೀಮಸೇನಯೋರ್ಯುದ್ಧಃ 	 08_karNaparva/073_karNavadha-parva/011/
011 ಆಯಸಭೀಮಭಂಗಃ 	 11_strIparva/081_strI-parva/011/
011 ಇಂದ್ರಾಣೀಭಯಃ 	 05_udyOgaparva/049_udyOga-parva/011/
011 ಚೈತ್ರರಥ ಪರ್ವ 	 01_Adiparva/011_chaitraratha-parva/
011 ಡುಂಡುಭಶಾಪಮೋಕ್ಷಃ 	 01_Adiparva/004_paulOma-parva/011/
011 ದ್ರೋಣಪ್ರತಿಜ್ಞಾ 	 07_drONaparva/065_drONAbhishEka-parva/011/
011 ದ್ರೌಣಿವಧಾರ್ಥಂ ಭೀಮಸೇನಗಮನಃ 	 10_sauptikaparva/079_aishIka-parva/011/
011 ನಕುಲಪ್ರವೇಶಃ 	 04_virATaparva/045_vairATa-parva/011/
011 ಬ್ರಹ್ಮಸಭಾವರ್ಣನಂ 	 02_Sabhaparva/020_sabhA-parva/011/
011 ಭಾರತವರ್ಷೇಕೃತಾದ್ಯನಿರೋಧೇನಾಯುರ್ನಿರೂಪಣಃ 	 06_bhIshmaparva/061_jaMbUkhaMDavinirmANa-parva/011/
011 ಮೈತ್ರೇಯಶಾಪಃ 	 03_aranyakaparva/029_AraNyaka-parva/011/
011 ಸಂಕುಲಯುದ್ಧಃ 	 09_shalyaparva/074_shalyavadha-parva/011/
011: ಕೃಷ್ಣಧರ್ಮಸಂವಾದಃ 	 14_ashvamEdhikaparva/89_ashvamEdhika-parva/011/
011: ಧುಂಧುವಧಃ 	 19_harivaMsha/96_harivaMsha-parva/011/
011: ಧೃತರಾಷ್ಟ್ರೋಪದೇಶಃ 	 15_AshramavAsikaparva/90_AshramavAsa-parva/011/
011: ಶ್ರೀರುಕ್ಮಿಣೀಸಂವಾದಃ 	 13_anushAsanaparva/87_dAnadharma-parva/011/
012 ಅರ್ಜುನಕೃತಯುಧಿಷ್ಠಿರಾಶ್ವಾಸನಃ 	 07_drONaparva/065_drONAbhishEka-parva/012/
012 ಅಶ್ವತ್ಥಾಮಪರಾಜಯಃ 	 08_karNaparva/073_karNavadha-parva/012/
012 ಇಂದ್ರಾಣೀಕಾಲಾವಧಿಯಾಚನಃ 	 05_udyOgaparva/049_udyOga-parva/012/
012 ಧೃತರಾಷ್ಟ್ರಕೋಪವಿಮೋಚನೇ ಪಾಂಡವಪರಿಶ್ವಂಗಃ 	 11_strIparva/081_strI-parva/012/
